Province,Construction,Permitted,Pre-permit,Announced
Beijing,0,0,0,0
Hainan,0,0,0,0
Tianjin,0,"1,320",0,0
Liaoning,760,120,850,0
Heilongjiang,100,0,"2,640",0
Chongqing,780,"2,100",0,0
Shanghai,0,0,"2,000","1,200"
Qinghai,0,0,"1,980","1,320"
Sichuan,0,0,"4,000",0
Jilin,0,340,184,"3,850"
Yunnan,700,0,0,"4,100"
Ningxia,0,"3,320","2,670",0
Fujian,"2,550","3,735","2,020",100
Zhejiang,"6,320","4,000",57,0
Henan,"3,930","1,320","6,000",60
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
